[2024-11-20 19:08:21,123] INFO [Controller id=0 epoch=22] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2024-11-20 19:08:21,211] INFO [Controller id=0 epoch=22] Sending LeaderAndIsr request to broker 0 with 78 become-leader and 0 become-follower partitions (state.change.logger)
[2024-11-20 19:08:21,213] INFO [Controller id=0 epoch=22] Sending UpdateMetadata request to brokers HashSet(0) for 78 partitions (state.change.logger)
[2024-11-20 19:08:21,811] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 78 partitions (state.change.logger)
[2024-11-20 19:08:21,849] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 22 as part of the become-leader transition for 78 partitions (state.change.logger)
[2024-11-20 19:08:21,951] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:21,960] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:21,965] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:21,970] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:21,975] INFO [Broker id=0] Leader memreq-0 with topic id Some(LrBLAfPGSlG_wat9jaklag) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:21,981] INFO [Broker id=0] Leader StandardDeliveryReply-2 with topic id Some(UiyHEuE_Rcy8D3vuAEzOOg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:21,986] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:21,991] INFO [Broker id=0] Leader InternationalDeliveryResponse-0 with topic id Some(ZxBVNJDWScuHQXTgaFeUqw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:21,997] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,002] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-11-20 19:08:22,007] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(TQoBdWomQYGMhoFNhw51vw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
